type,location,cause,metrics,year,val,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1995,0.009102564,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1996,69203.82866,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1996,0.008092862,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1997,61156.54534,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1997,0.007176208,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1998,54232.6319,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1998,0.006323849,,
country,China,"Unsafe water, sanitation, and handwashing",Number,1999,48245.76704,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,1999,0.005568375,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2000,43251.01191,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2000,0.004863008,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2001,37591.05031,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2001,0.004157921,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2002,32269.99204,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2002,0.003529953,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2003,28842.56012,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2003,0.003081665,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2004,25963.43533,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2004,0.002710986,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2005,22960.59669,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2005,0.002403776,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2006,19872.74544,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2006,0.002170424,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2007,17569.07448,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2007,0.001927291,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2008,15979.2107,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2008,0.001701436,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2009,14709.66908,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2009,0.001542059,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2010,13436.35991,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2010,0.001379959,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2011,12333.85112,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2011,0.001258855,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2012,11683.88344,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2012,0.001191071,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2013,11128.70044,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2013,0.00112168,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2014,10617.77716,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2014,0.001061016,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2015,10554.83406,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2015,0.00104025,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2016,10655.77321,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2016,0.001024365,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2017,10120.31099,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2017,0.00095675,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2018,9618.139074,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2018,0.000894505,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2019,9298.755258,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2019,0.00083869,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2020,8738.483297,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2020,0.000765081,,
country,China,"Unsafe water, sanitation, and handwashing",Number,2021,8942.652336,,
country,China,"Unsafe water, sanitation, and handwashing",Percent,2021,0.000764914,,
country,Indonesia,Occupational risks,Number,1990,44943.66066,,
country,Indonesia,Occupational risks,Percent,1990,0.032843114,,
country,Indonesia,Occupational risks,Number,1991,45671.72084,,
country,Indonesia,Occupational risks,Percent,1991,0.033538958,,
country,Indonesia,Occupational risks,Number,1992,46304.28327,,
country,Indonesia,Occupational risks,Percent,1992,0.034045327,,
country,Indonesia,Occupational risks,Number,1993,46561.19806,,
country,Indonesia,Occupational risks,Percent,1993,0.034249874,,
country,Indonesia,Occupational risks,Number,1994,46502.88505,,
country,Indonesia,Occupational risks,Percent,1994,0.034195613,,
country,Indonesia,Occupational risks,Number,1995,46343.91475,,
country,Indonesia,Occupational risks,Percent,1995,0.034065613,,
country,Indonesia,Occupational risks,Number,1996,46297.87402,,
country,Indonesia,Occupational risks,Percent,1996,0.033947383,,
country,Indonesia,Occupational risks,Number,1997,46419.21973,,
country,Indonesia,Occupational risks,Percent,1997,0.03370654,,
country,Indonesia,Occupational risks,Number,1998,46528.47222,,
country,Indonesia,Occupational risks,Percent,1998,0.033305326,,
country,Indonesia,Occupational risks,Number,1999,47190.80226,,
country,Indonesia,Occupational risks,Percent,1999,0.03326428,,
country,Indonesia,Occupational risks,Number,2000,47575.60702,,
country,Indonesia,Occupational risks,Percent,2000,0.033176835,,
country,Indonesia,Occupational risks,Number,2001,47753.17265,,
country,Indonesia,Occupational risks,Percent,2001,0.03290018,,
country,Indonesia,Occupational risks,Number,2002,47567.63236,,
country,Indonesia,Occupational risks,Percent,2002,0.032335604,,
country,Indonesia,Occupational risks,Number,2003,47372.36932,,
country,Indonesia,Occupational risks,Percent,2003,0.031786533,,
country,Indonesia,Occupational risks,Number,2004,47016.0849,,
country,Indonesia,Occupational risks,Percent,2004,0.028084205,,
country,Indonesia,Occupational risks,Number,2005,47016.35053,,
country,Indonesia,Occupational risks,Percent,2005,0.030846691,,
country,Indonesia,Occupational risks,Number,2006,47027.63252,,
country,Indonesia,Occupational risks,Percent,2006,0.030391437,,
country,Indonesia,Occupational risks,Number,2007,47052.48373,,
country,Indonesia,Occupational risks,Percent,2007,0.030201905,,
country,Indonesia,Occupational risks,Number,2008,46642.21776,,
country,Indonesia,Occupational risks,Percent,2008,0.029634982,,
country,Indonesia,Occupational risks,Number,2009,46818.77324,,
country,Indonesia,Occupational risks,Percent,2009,0.029397525,,
country,Indonesia,Occupational risks,Number,2010,46573.47507,,
country,Indonesia,Occupational risks,Percent,2010,0.029003454,,
country,Indonesia,Occupational risks,Number,2011,46437.32111,,
country,Indonesia,Occupational risks,Percent,2011,0.028826535,,
country,Indonesia,Occupational risks,Number,2012,45933.82221,,
country,Indonesia,Occupational risks,Percent,2012,0.028360546,,
country,Indonesia,Occupational risks,Number,2013,45624.50475,,
country,Indonesia,Occupational risks,Percent,2013,0.027937644,,
country,Indonesia,Occupational risks,Number,2014,45473.03878,,
country,Indonesia,Occupational risks,Percent,2014,0.027612866,,
country,Indonesia,Occupational risks,Number,2015,45563.91464,,
country,Indonesia,Occupational risks,Percent,2015,0.027334745,,
country,Indonesia,Occupational risks,Number,2016,45639.80064,,
country,Indonesia,Occupational risks,Percent,2016,0.027058897,,
country,Indonesia,Occupational risks,Number,2017,45862.87536,,
country,Indonesia,Occupational risks,Percent,2017,0.026800249,,
country,Indonesia,Occupational risks,Number,2018,46206.81611,,
country,Indonesia,Occupational risks,Percent,2018,0.026500854,,
country,Indonesia,Occupational risks,Number,2019,46512.97982,,
country,Indonesia,Occupational risks,Percent,2019,0.026291511,,
country,Indonesia,Occupational risks,Number,2020,47012.04588,,
country,Indonesia,Occupational risks,Percent,2020,0.024290988,,
country,Indonesia,Occupational risks,Number,2021,47504.11753,,
country,Indonesia,Occupational risks,Percent,2021,0.021748656,,
country,China,Environmental/occupational risks,Number,1990,2981663.395,,
country,China,Environmental/occupational risks,Percent,1990,0.352057833,,
country,China,Environmental/occupational risks,Number,1991,3016116.277,,
country,China,Environmental/occupational risks,Percent,1991,0.352905831,,
country,China,Environmental/occupational risks,Number,1992,3037773.04,,
country,China,Environmental/occupational risks,Percent,1992,0.354167825,,
country,China,Environmental/occupational risks,Number,1993,3045843.506,,
country,China,Environmental/occupational risks,Percent,1993,0.354677127,,
country,China,Environmental/occupational risks,Number,1994,3060106.74,,
country,China,Environmental/occupational risks,Percent,1994,0.356186497,,
country,China,Environmental/occupational risks,Number,1995,3075572.671,,
country,China,Environmental/occupational risks,Percent,1995,0.35773739,,
country,China,Environmental/occupational risks,Number,1996,3070085.374,,
country,China,Environmental/occupational risks,Percent,1996,0.358408236,,
country,China,Environmental/occupational risks,Number,1997,3058678.591,,
country,China,Environmental/occupational risks,Percent,1997,0.358589466,,
country,China,Environmental/occupational risks,Number,1998,3066048.634,,
country,China,Environmental/occupational risks,Percent,1998,0.357410212,,
country,China,Environmental/occupational risks,Number,1999,3101687.842,,
country,China,Environmental/occupational risks,Percent,1999,0.357645375,,
country,China,Environmental/occupational risks,Number,2000,3183930.148,,
country,China,Environmental/occupational risks,Percent,2000,0.357875535,,
country,China,Environmental/occupational risks,Number,2001,3228040.468,,
country,China,Environmental/occupational risks,Percent,2001,0.356781836,,
country,China,Environmental/occupational risks,Number,2002,3241099.175,,
country,China,Environmental/occupational risks,Percent,2002,0.354194981,,
country,China,Environmental/occupational risks,Number,2003,3307501.48,,
country,China,Environmental/occupational risks,Percent,2003,0.353025633,,
country,China,Environmental/occupational risks,Number,2004,3353227,,
country,China,Environmental/occupational risks,Percent,2004,0.349836527,,
country,China,Environmental/occupational risks,Number,2005,3318265.681,,
country,China,Environmental/occupational risks,Percent,2005,0.347678282,,
country,China,Environmental/occupational risks,Number,2006,3127618.832,,
country,China,Environmental/occupational risks,Percent,2006,0.341318416,,
country,China,Environmental/occupational risks,Number,2007,3074509.094,,
country,China,Environmental/occupational risks,Percent,2007,0.337246849,,
country,China,Environmental/occupational risks,Number,2008,3101507.991,,
country,China,Environmental/occupational risks,Percent,2008,0.329975048,,
country,China,Environmental/occupational risks,Number,2009,3167057.94,,
country,China,Environmental/occupational risks,Percent,2009,0.332081665,,
country,China,Environmental/occupational risks,Number,2010,3230838.814,,
country,China,Environmental/occupational risks,Percent,2010,0.33210361,,
country,China,Environmental/occupational risks,Number,2011,3241530.217,,
country,China,Environmental/occupational risks,Percent,2011,0.330647785,,
country,China,Environmental/occupational risks,Number,2012,3213271.541,,
country,China,Environmental/occupational risks,Percent,2012,0.327605033,,
country,China,Environmental/occupational risks,Number,2013,3232503.45,,
country,China,Environmental/occupational risks,Percent,2013,0.325963875,,
country,China,Environmental/occupational risks,Number,2014,3219908.659,,
country,China,Environmental/occupational risks,Percent,2014,0.321529813,,
country,China,Environmental/occupational risks,Number,2015,3218489.067,,
country,China,Environmental/occupational risks,Percent,2015,0.317700792,,
country,China,Environmental/occupational risks,Number,2016,3258551.105,,
country,China,Environmental/occupational risks,Percent,2016,0.31347316,,
country,China,Environmental/occupational risks,Number,2017,3241569.826,,
country,China,Environmental/occupational risks,Percent,2017,0.30606271,,
country,China,Environmental/occupational risks,Number,2018,3190533.109,,
country,China,Environmental/occupational risks,Percent,2018,0.295411961,,
country,China,Environmental/occupational risks,Number,2019,3173491.981,,
country,China,Environmental/occupational risks,Percent,2019,0.286481923,,
country,China,Environmental/occupational risks,Number,2020,3167613.482,,
country,China,Environmental/occupational risks,Percent,2020,0.27714747,,
country,China,Environmental/occupational risks,Number,2021,3361725.597,,
country,China,Environmental/occupational risks,Percent,2021,0.287335061,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1990,200932.1102,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1990,0.146847055,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1991,183082.5309,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1991,0.134416412,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1992,167441.5503,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1992,0.123198407,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1993,154077.9276,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1993,0.113352827,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1994,141546.9206,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1994,0.104136634,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1995,130236.3984,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1995,0.095738006,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1996,119696.4844,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1996,0.087770778,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1997,111138.4627,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1997,0.080699754,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1998,105569.4531,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1998,0.075552285,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,1999,100163.8435,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,1999,0.070621332,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2000,94748.39932,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2000,0.066080963,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2001,89988.34732,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2001,0.061983532,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2002,85888.59297,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2002,0.058387327,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2003,82109.70767,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2003,0.055058715,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2004,78720.85251,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2004,0.047011704,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2005,75533.28834,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2005,0.049545878,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2006,72144.66286,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2006,0.046643626,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2007,69183.82719,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2007,0.044442081,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2008,66138.52258,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2008,0.04205499,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2009,62873.00367,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2009,0.03947532,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2010,59622.17881,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2010,0.03715142,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2011,56572.01332,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2011,0.035126848,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2012,53620.59495,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2012,0.033112079,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2013,51196.81901,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2013,0.031330289,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2014,49112.5902,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2014,0.029825315,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2015,47276.21237,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2015,0.028313587,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2016,45550.41683,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2016,0.027031694,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2017,44673.2175,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2017,0.026071315,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2018,43812.89783,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2018,0.025113227,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2019,43027.39737,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2019,0.024326959,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2020,42376.30707,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2020,0.021872142,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Number,2021,41441.01362,,
country,Indonesia,"Unsafe water, sanitation, and handwashing",Percent,2021,0.01896697,,
country,China,Non-optimal temperature,Number,1990,375933.767,,
country,China,Non-optimal temperature,Percent,1990,0.044386208,,
country,China,Non-optimal temperature,Number,1991,395738.2813,,
country,China,Non-optimal temperature,Percent,1991,0.0463071,,
country,China,Non-optimal temperature,Number,1992,403309.5959,,
country,China,Non-optimal temperature,Percent,1992,0.047017716,,
country,China,Non-optimal temperature,Number,1993,393829.2617,,
country,China,Non-optimal temperature,Percent,1993,0.0458483,,
country,China,Non-optimal temperature,Number,1994,395255.1976,,
country,China,Non-optimal temperature,Percent,1994,0.046001906,,
country,China,Non-optimal temperature,Number,1995,409727.0754,,
country,China,Non-optimal temperature,Percent,1995,0.047640066,,
country,China,Non-optimal temperature,Number,1996,413681.2243,,
country,China,Non-optimal temperature,Percent,1996,0.048298729,,
country,China,Non-optimal temperature,Number,1997,402974.5498,,
country,China,Non-optimal temperature,Percent,1997,0.047232821,,
country,China,Non-optimal temperature,Number,1998,383671.8131,,
country,China,Non-optimal temperature,Percent,1998,0.044726462,,
country,China,Non-optimal temperature,Number,1999,403902.9422,,
country,China,Non-optimal temperature,Percent,1999,0.046572636,,
country,China,Non-optimal temperature,Number,2000,431298.0298,,
country,China,Non-optimal temperature,Percent,2000,0.048479497,,
country,China,Non-optimal temperature,Number,2001,429228.0827,,
country,China,Non-optimal temperature,Percent,2001,0.047427881,,
country,China,Non-optimal temperature,Number,2002,431909.7453,,
country,China,Non-optimal temperature,Percent,2002,0.047193647,,
country,China,Non-optimal temperature,Number,2003,456841.9718,,
country,China,Non-optimal temperature,Percent,2003,0.048756507,,
country,China,Non-optimal temperature,Number,2004,449194.8877,,
country,China,Non-optimal temperature,Percent,2004,0.046864881,,
country,China,Non-optimal temperature,Number,2005,459778.6237,,
country,China,Non-optimal temperature,Percent,2005,0.048174857,,
country,China,Non-optimal temperature,Number,2006,421278.8852,,
country,China,Non-optimal temperature,Percent,2006,0.045971843,,
country,China,Non-optimal temperature,Number,2007,424776.6424,,
country,China,Non-optimal temperature,Percent,2007,0.046590494,,
country,China,Non-optimal temperature,Number,2008,424518.7067,,
country,China,Non-optimal temperature,Percent,2008,0.045158881,,
country,China,Non-optimal temperature,Number,2009,452771.4707,,
country,China,Non-optimal temperature,Percent,2009,0.047476989,,
country,China,Non-optimal temperature,Number,2010,494793.5361,,
country,China,Non-optimal temperature,Percent,2010,0.050853039,,
country,China,Non-optimal temperature,Number,2011,497923.7096,,
country,China,Non-optimal temperature,Percent,2011,0.050787034,,
country,China,Non-optimal temperature,Number,2012,491362.3252,,
country,China,Non-optimal temperature,Percent,2012,0.05009697,,
country,China,Non-optimal temperature,Number,2013,501877.9737,,
country,China,Non-optimal temperature,Percent,2013,0.050609741,,
country,China,Non-optimal temperature,Number,2014,482110.9591,,
country,China,Non-optimal temperature,Percent,2014,0.048157405,,
country,China,Non-optimal temperature,Number,2015,484299.6307,,
country,China,Non-optimal temperature,Percent,2015,0.047800383,,
country,China,Non-optimal temperature,Number,2016,512114.5809,,
country,China,Non-optimal temperature,Percent,2016,0.049268214,,
country,China,Non-optimal temperature,Number,2017,535723.3819,,
country,China,Non-optimal temperature,Percent,2017,0.050575897,,
country,China,Non-optimal temperature,Number,2018,540968.912,,
country,China,Non-optimal temperature,Percent,2018,0.050071782,,
country,China,Non-optimal temperature,Number,2019,549638.9411,,
country,China,Non-optimal temperature,Percent,2019,0.04962097,,
country,China,Non-optimal temperature,Number,2020,567946.1944,,
country,China,Non-optimal temperature,Percent,2020,0.049686317,,
country,China,Non-optimal temperature,Number,2021,589678.3479,,
country,China,Non-optimal temperature,Percent,2021,0.050426526,,
country,Russian Federation,Occupational risks,Number,1990,29782.05588,,
country,Russian Federation,Occupational risks,Percent,1990,0.018198015,,
country,Russian Federation,Occupational risks,Number,1991,29031.77318,,
